entity	shape	defined_class
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000946	http://purl.obolibrary.org/obo/UPHENO_0042627
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001879	http://purl.obolibrary.org/obo/UPHENO_0041629
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000947	http://purl.obolibrary.org/obo/UPHENO_0042628
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002045	http://purl.obolibrary.org/obo/UPHENO_0083436
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001910	http://purl.obolibrary.org/obo/UPHENO_0041116
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002169	http://purl.obolibrary.org/obo/UPHENO_0041414
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001878	http://purl.obolibrary.org/obo/UPHENO_0041630
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002445	http://purl.obolibrary.org/obo/UPHENO_0041895
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001359	http://purl.obolibrary.org/obo/UPHENO_0041894
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002180	http://purl.obolibrary.org/obo/UPHENO_0042140
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002063	http://purl.obolibrary.org/obo/UPHENO_0041789
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0015019	http://purl.obolibrary.org/obo/UPHENO_0089281
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001785	http://purl.obolibrary.org/obo/UPHENO_0041121
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002239	http://purl.obolibrary.org/obo/UPHENO_0042009
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001786	http://purl.obolibrary.org/obo/UPHENO_0041122
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0002359	http://purl.obolibrary.org/obo/UPHENO_0041421
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0001784	http://purl.obolibrary.org/obo/UPHENO_0041123
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000052	http://purl.obolibrary.org/obo/UPHENO_0041226
http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/PATO_0000617	http://purl.obolibrary.org/obo/UPHENO_0041234
