id	subject	predicate	object	relation	knowledge_source
urn:uuid:21380140-8eb6-44e7-9ad4-4e4841ba6cc7	HP:0000171	biolink:related_to	OBA:0002025	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a0d4ed8d-5f70-4007-a06c-85ff3fb34fde	HP:0000174	biolink:related_to	OBA:VT0003755	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ec92f6a1-1a33-46dd-9e26-44a3dad19ad3	HP:0000175	biolink:related_to	OBA:0002027	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d96d639e-bf82-4ab2-aace-7a749e7c9239	HP:0000176	biolink:related_to	OBA:0002028	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:9f10925b-17b1-4f0c-8fee-2689a5219730	HP:0000177	biolink:related_to	OBA:0005681	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:29909ccb-24d9-460a-8e02-3c0cf0589524	HP:0000178	biolink:related_to	OBA:0005682	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:882e14ab-d696-4bb0-8bc7-253d59573feb	HP:0000185	biolink:related_to	OBA:0002030	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ffa8f335-8e18-48f1-8c3f-c5aa6574b7c0	HP:0000187	biolink:related_to	OBA:0002031	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:b9ce51ac-58e2-4a1f-8a15-227df66dc303	HP:0000188	biolink:related_to	OBA:0002032	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:993aa427-769f-4c5b-a2c9-199e5c73381f	HP:0000189	biolink:related_to	OBA:VT0003759	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a1d4bcae-8bb6-4585-9fb7-cf6b6545216c	HP:0000193	biolink:related_to	OBA:0002034	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:b71ef239-2c52-44fc-a159-1df7e8fcac70	HP:0000194	biolink:related_to	OBA:0002035	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:8914b05a-f93a-43bc-accd-e97923e5a823	HP:0000197	biolink:related_to	OBA:VT0003452	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f2683f1f-7e80-427f-9d4f-fc54e3401a2d	HP:0000200	biolink:related_to	OBA:0002036	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c8a14630-1997-46d4-b1e0-85558c32d000	HP:0000204	biolink:related_to	OBA:0002037	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2694f254-8c1c-4469-950f-6e932a4ad6b3	HP:0000212	biolink:related_to	OBA:0002039	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:078cb1da-3e7f-417e-ac29-fa8301a8035f	HP:0000216	biolink:related_to	OBA:0002041	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:8cb86a9b-49b8-4751-a4a6-35e9d9e95fea	HP:0000218	biolink:related_to	OBA:0002043	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:3fd8ff48-e5e7-48dd-90b0-8c3e9c37504b	HP:0000219	biolink:related_to	OBA:0002044	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c68ab415-e5eb-4aa0-9dcf-2bff861e6846	HP:0000222	biolink:related_to	OBA:0002039	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:6509bd22-cb40-405c-acaf-9952d58ee8b7	HP:0000234	biolink:related_to	OBA:VT0005382	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a9eb9d61-4783-4754-b46d-fcaceadfa49f	HP:0000237	biolink:related_to	OBA:0002047	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:df39c01a-02eb-4e98-8b7a-5080282bdb90	HP:0000239	biolink:related_to	OBA:0002048	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d3c70d33-34d7-4e0c-9bf3-0983d0265f3f	HP:0000240	biolink:related_to	OBA:VT0003104	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2268050a-d57b-4157-94a0-a55857fdeb00	HP:0000245	biolink:related_to	OBA:VT0002240	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:cd918bfc-3d69-4503-a0d2-22a161620f24	HP:0000250	biolink:related_to	OBA:0002051	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:6f81df71-ae73-4ea2-b3eb-46f51ec5e5ff	HP:0000276	biolink:related_to	OBA:0002056	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:eb6e5080-24c3-4870-a1e3-5660a68053f2	HP:0000277	biolink:related_to	OBA:0003504	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ac7ae4f2-b493-4bdc-907f-c550c9a40336	HP:0000286	biolink:related_to	OBA:0002060	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:769ab088-e7d7-4a76-ae63-7757d46ca1ef	HP:0000288	biolink:related_to	OBA:1000163	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:afc3ec59-af3d-4df1-980b-14a4aa17483a	HP:0000289	biolink:related_to	OBA:0002061	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:091283f0-8867-400f-9a55-2923f56cfd17	HP:0000307	biolink:related_to	OBA:0002064	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:becaf53c-7c72-498c-b9bf-747e148db743	HP:0000309	biolink:related_to	OBA:0003499	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f0ae06ca-3adf-40be-8bcf-5b140adffdfc	HP:0000311	biolink:related_to	OBA:0002065	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:e1e63059-8df8-458e-86a5-26e00cf15a12	HP:0000316	biolink:related_to	OBA:1000005	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:081f83ff-f1d3-4da6-a18f-16830981015b	HP:0000319	biolink:related_to	OBA:0002066	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c6a7d765-cadf-48e1-b233-852dfb814283	HP:0000322	biolink:related_to	OBA:1000046	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d18e966b-db1b-4ca9-8cad-7b517e9c0da9	HP:0000326	biolink:related_to	OBA:VT0000455	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:13df17ad-3528-4274-a5e0-e46ef8ab5e6f	HP:0000331	biolink:related_to	OBA:0002069	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:af2269a6-f000-4466-8b8d-d3f2f4f4f41c	HP:0000343	biolink:related_to	OBA:1000046	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:81e4914a-a44b-4929-a85c-77f93c310815	HP:0000348	biolink:related_to	OBA:0002073	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:cf6a86a6-e8a4-4468-9c21-8a892c4e92f9	HP:0000357	biolink:related_to	OBA:0002074	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:43811427-8506-40d9-983e-7bc46a607059	HP:0000363	biolink:related_to	OBA:VT0003677	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:76387564-2c16-428c-a789-95f5ea0b2a6c	HP:0000364	biolink:related_to	OBA:1000931	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:09740195-79af-4969-bda2-81987908a26a	HP:0000365	biolink:related_to	OBA:0004227	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:80045404-877d-4935-a7de-fc1174c0c5c3	HP:0000372	biolink:related_to	OBA:1000704	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c469fe92-eb51-4753-81b2-547abd4a5668	HP:0000375	biolink:related_to	OBA:VT0000031	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:8a57a3fc-e989-41f6-bc7e-1ff38fda4b8a	HP:0000377	biolink:related_to	OBA:VT0000022	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:57549e17-9e3e-46f7-963b-50e02c830028	HP:0000391	biolink:related_to	OBA:0002078	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:585dead1-9538-4e16-961d-e5a2420729d8	HP:0000400	biolink:related_to	OBA:VT0000017	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ce3bfa90-07c0-48ca-a0cb-0ad139f57c1b	HP:0000419	biolink:related_to	OBA:VT0002239	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:67dfd729-10f0-4585-b1fd-586776114f2f	HP:0000420	biolink:related_to	OBA:0002085	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:1e47d78f-aea4-48b2-b148-7ad3da7fdf11	HP:0000429	biolink:related_to	OBA:VT0015066	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:fb29831d-df81-429e-871f-12d8da238b6f	HP:0000431	biolink:related_to	OBA:VT0000449	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c6803280-da76-4424-a5fc-30d15ab569e3	HP:0000437	biolink:related_to	OBA:0002089	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a12053dd-73ff-4baa-a260-d1243edfa94b	HP:0000455	biolink:related_to	OBA:0002096	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ab1ec731-1e99-4ae0-ba33-b3cd5bc4647f	HP:0000456	biolink:related_to	OBA:0002097	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:9eabef5a-abd0-4d94-9da6-ff73ef480425	HP:0000457	biolink:related_to	OBA:0002098	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d6e92029-2a6c-4723-aeb0-88586d806cf8	HP:0000460	biolink:related_to	OBA:0002083	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:9ae03c0f-7d2d-4979-a160-1bf3e06a0d8e	HP:0000467	biolink:related_to	OBA:0002101	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:533a2433-b503-4029-833b-31552c7a778e	HP:0000470	biolink:related_to	OBA:0002102	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2389774c-b9f1-4ce1-98c2-21c873f565fb	HP:0000472	biolink:related_to	OBA:0002102	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ab66ef12-ee6f-44c2-b34a-f4e3807207ff	HP:0000475	biolink:related_to	OBA:0002103	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:0cfa34c0-6afd-4ff9-ab13-20383d13d440	HP:0000478	biolink:related_to	OBA:1000608	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:23eeb07f-6b34-4111-a153-7a5e19713893	HP:0000479	biolink:related_to	OBA:VT0001325	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:694828f8-78c8-441d-b1d0-6abd189cfcaa	HP:0000486	biolink:related_to	OBA:0002105	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:b4d3a28d-5350-45f7-8026-6e7e55832e2f	HP:0000488	biolink:related_to	OBA:2060171	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:3d8594c8-695f-43e5-8500-748e49e662f4	HP:0000492	biolink:related_to	OBA:VT0001340	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:97e913d6-784c-4719-8ef0-3e007ebeff00	HP:0000496	biolink:related_to	OBA:1000197	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:1c03e557-a448-4ddc-82b7-31f0841a34fb	HP:0000499	biolink:related_to	OBA:VT0004095	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:e6f1aa4c-997d-4d1e-8bcd-d5416816874b	HP:0000504	biolink:related_to	OBA:2045263	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d1c417f6-a1ab-4422-af05-eb2d955ed9af	HP:0000506	biolink:related_to	OBA:1000003	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:86f77e22-8b3e-40f1-a7f2-434ecd1d7197	HP:0000517	biolink:related_to	OBA:VT0001303	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:42786168-14c8-4c72-ab6f-259619493802	HP:0000518	biolink:related_to	OBA:1000035	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c11af982-9e48-4dfd-9212-54fef084b886	HP:0000526	biolink:related_to	OBA:0002109	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:d58ae62b-0fe4-42f9-8b4b-d3074732866a	HP:0000527	biolink:related_to	OBA:0002110	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:76b07976-73a4-480d-b918-c0a84063ae2b	HP:0000528	biolink:related_to	OBA:0002111	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:38b19f9a-f69f-4a7d-b158-6836cebd398d	HP:0000553	biolink:related_to	OBA:VT0005197	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:fc3ad108-092b-40fb-a77c-c24857ed3fbd	HP:0000574	biolink:related_to	OBA:0002117	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:3ae0797f-a382-4813-8373-05d49804ce90	HP:0000586	biolink:related_to	OBA:VT0006213	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:adc61e1d-4d73-475d-8376-4cd1ae3d875f	HP:0000587	biolink:related_to	OBA:0003638	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:8a2e2712-c93b-422b-9845-901ed6d81b71	HP:0000589	biolink:related_to	OBA:0002119	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:1358d10f-12c8-4549-b08a-1fdaab32765c	HP:0000591	biolink:related_to	OBA:VT0002698	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2a831fbc-a41f-454b-87ed-72ff08101a4d	HP:0000592	biolink:related_to	OBA:VT0003102	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:5330ac31-f3bb-41d1-b85d-cf5d1f247f1f	HP:0000601	biolink:related_to	OBA:1000005	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:237c4dd0-4b63-4936-9c80-8435b7c4f194	HP:0000602	biolink:related_to	OBA:0002121	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:7e38b279-3e0f-47a8-87ce-8b8a5a7ae442	HP:0000606	biolink:related_to	OBA:1000566	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c2086517-9f8c-4c7f-9916-4f7648ca1c07	HP:0000610	biolink:related_to	OBA:VT0005098	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c36cbd51-e4b7-4eb9-b639-f2518fca1eeb	HP:0000614	biolink:related_to	OBA:0002805	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:80d1d7d4-7dd9-47b3-97cb-b84dc65a30ab	HP:0000618	biolink:related_to	OBA:0002125	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:97b61ac6-80e2-4765-a59d-6e7f98888665	HP:0000625	biolink:related_to	OBA:0003336	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:80427db3-c9f6-4004-a5fd-2a19b4af1247	HP:0000637	biolink:related_to	OBA:1000047	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c1771378-06d3-4478-b7ef-2c7b5ad68c91	HP:0000639	biolink:related_to	OBA:1000345	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f0c6c520-fcd5-4f19-ab2e-1668ae4bddd4	HP:0000653	biolink:related_to	OBA:0002126	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ca72ffe0-d4f7-442a-b6e4-e1037f4ff1bf	HP:0000667	biolink:related_to	OBA:0002129	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ff92adf9-9983-40d2-a4d6-f66608c9e70e	HP:0000675	biolink:related_to	OBA:0002131	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f41dea6f-13ef-4580-8d9f-80f9dc588d8c	HP:0000676	biolink:related_to	OBA:1000578	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:cfdaaec9-3705-4552-84df-52a87dbf2789	HP:0000689	biolink:related_to	OBA:0002132	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:9b22f740-f6e8-44cb-a48c-92b804dea8ce	HP:0000691	biolink:related_to	OBA:1000112	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:55d1fcf5-70a1-4365-87a7-461010e3231e	HP:0000703	biolink:related_to	OBA:0002137	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:bb1c0edc-8083-4168-9b76-99dab751329f	HP:0000705	biolink:related_to	OBA:0002138	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:c6c985aa-1f81-4242-b0c9-fdbcdaf96553	HP:0000708	biolink:related_to	OBA:1000369	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f5ab2b09-9dcb-498d-8e47-074abde8f1d0	HP:0000713	biolink:related_to	OBA:1000219	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ac2a4a2d-c5c1-48dd-ae65-bfffa5f2ef01	HP:0000718	biolink:related_to	OBA:1000376	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:dbda33fa-376a-49d1-ae6c-b5b91309d080	HP:0000734	biolink:related_to	OBA:1000278	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:b4bffb3b-bd0b-4f6f-bdfe-0ff39dc80e7d	HP:0000737	biolink:related_to	OBA:1000400	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2a1f6655-96de-4383-bb99-dd80e62e4b3b	HP:0000739	biolink:related_to	OBA:1000384	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:7270e52a-3286-484a-aef6-21b0abb3d264	HP:0000748	biolink:related_to	OBA:1000588	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4140df1e-e8da-4188-b667-5e2aad885c90	HP:0000763	biolink:related_to	OBA:0002139	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:623a160a-f5d1-4831-b5c4-4a61d6f739a5	HP:0000765	biolink:related_to	OBA:VT0015059	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4b275cc8-00d8-4b02-983e-07413d39c1bc	HP:0000766	biolink:related_to	OBA:VT0000157	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f37575ba-7444-415a-a16a-a1431aee8953	HP:0000767	biolink:related_to	OBA:0002141	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f0595445-bf4b-4f9e-b47d-c1d274c16650	HP:0000771	biolink:related_to	OBA:VT0010002	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:aa6dddcd-9377-455e-b988-1e04c40d83d8	HP:0000772	biolink:related_to	OBA:VT0000150	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:18f6896d-3bfa-48b4-932c-10c4980ce930	HP:0000773	biolink:related_to	OBA:0002143	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:fc618af3-827c-4099-a235-29d822940b62	HP:0000774	biolink:related_to	OBA:0002144	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:e3828d39-078b-4995-8869-498a5506930e	HP:0000777	biolink:related_to	OBA:0003539	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:aff9fdba-cc4a-4a53-acdb-194cb9e36654	HP:0000789	biolink:related_to	OBA:VT0010464	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2b84eaeb-d188-4c01-94c0-c2a74811c2d7	HP:0000823	biolink:related_to	OBA:0002147	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a1fdbaa4-dc88-4131-bcba-cf81b8c7a4c9	HP:0000824	biolink:related_to	OBA:0002148	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:6eef8997-5471-44a2-93c2-82728afd102b	HP:0000829	biolink:related_to	OBA:0000079	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:622e059a-963b-4203-97e5-62b7677c1ab1	HP:0000843	biolink:related_to	OBA:0000079	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:0f7dd0e2-0516-4e88-8d87-42e22cf046fb	HP:0000845	biolink:related_to	OBA:0002148	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:4f692b3c-c1f3-468d-a385-317d327fffca	HP:0000849	biolink:related_to	OBA:1000330	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:0d3b4015-34ed-4ebe-a9a4-320eea95e096	HP:0000853	biolink:related_to	OBA:VT0005355	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ba50c1a2-98e3-49bc-b081-10dd49c553ee	HP:0000864	biolink:related_to	OBA:1000629	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:2ca23987-e95a-4c5c-a84f-5419992e24af	HP:0000879	biolink:related_to	OBA:VT0004321	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:8fdbb940-e925-44ae-8a3e-00c4a517caaa	HP:0000883	biolink:related_to	OBA:0002150	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:651c5ee0-131f-4a57-acf7-b2ad6562384b	HP:0000885	biolink:related_to	OBA:0002150	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:e47492ed-80d2-4711-b169-1f8f3d02eb3d	HP:0000889	biolink:related_to	OBA:VT0005298	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:81f0f471-f068-43d6-b138-e0d529d20322	HP:0000890	biolink:related_to	OBA:0002152	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:b20a9220-cfce-47c5-95b8-9cb5d0d63539	HP:0000892	biolink:related_to	OBA:0002153	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:a9d2fdef-ecc2-459e-a142-a2fdb0d28861	HP:0000894	biolink:related_to	OBA:0002152	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:5d420f81-2ab2-49af-9ae5-1d669e8d6583	HP:0000900	biolink:related_to	OBA:0002150	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:f91c0874-0563-4f4a-84cc-c3d583f25177	HP:0000911	biolink:related_to	OBA:0002157	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:1b91ca2b-453b-4910-b71b-fabb0650fc4b	HP:0000916	biolink:related_to	OBA:VT0004338	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:3e7ed3ca-5450-406a-b49d-1dcbffb0297c	HP:0000919	biolink:related_to	OBA:1000598	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:6b279b5b-8137-46a9-8cb4-cbfd9d46c563	HP:0000920	biolink:related_to	OBA:0002158	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:04e41c40-806d-4cf5-b0c7-5c1f7f83ae23	HP:0000921	biolink:related_to	OBA:0002159	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:ffe62f4f-0d10-493d-899c-6c8f2ec876df	HP:0000927	biolink:related_to	OBA:VT0010005	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:21e9e723-b631-424b-b7f6-0db38b8f4254	HP:0000929	biolink:related_to	OBA:VT0000438	UPHENO:phenotypeToTrait	upheno-oba.json
urn:uuid:17bb04ed-26c5-4b72-83a9-dc7d0fffac70	HP:0000932	biolink:related_to	OBA:0002203	UPHENO:phenotypeToTrait	upheno-oba.json
