defined_class	defined_class_label	affected_entity_1_sub	affected_entity_1_sub_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/HP_0410392	Increased proportion of CD8-positive, alpha-beta memory T cells	http://purl.obolibrary.org/obo/CL_0000909	CD8-positive, alpha-beta memory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0410396	Increased proportion of central memory CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0000907	central memory CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030387	Increased proportion of class-switched memory B cells	http://purl.obolibrary.org/obo/CL_0000972	class switched memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0410395	Increased proportion of effector memory CD8-positive, alpha-beta T cells	http://purl.obolibrary.org/obo/CL_0001050	effector CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0031514	Increased proportion of exhausted T cells	http://purl.obolibrary.org/obo/CL_0011025	exhausted T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0500270	Increased proportion of gamma-delta T cells	http://purl.obolibrary.org/obo/CL_0000798	gamma-delta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030377	Increased proportion of immature B cells	http://purl.obolibrary.org/obo/CL_0000816	immature B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0500273	Increased proportion of immature gamma-delta T cells	http://purl.obolibrary.org/obo/CL_0000799	immature gamma-delta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030385	Increased proportion of marginal zone B cells	http://purl.obolibrary.org/obo/CL_0000845	marginal zone B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030375	Increased proportion of memory B cells	http://purl.obolibrary.org/obo/CL_0000787	memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0032184	Increased proportion of memory T cells	http://purl.obolibrary.org/obo/CL_0000813	memory T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030371	Increased proportion of naive B cells	http://purl.obolibrary.org/obo/CL_0000788	naive B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0410375	Increased proportion of naive CD4 T cells	http://purl.obolibrary.org/obo/CL_0000895	naive thymus-derived CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0031398	Increased proportion of naive T cells	http://purl.obolibrary.org/obo/CL_0000898	naive T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0032128	Increased proportion of plasmablasts	http://purl.obolibrary.org/obo/CL_0000980	plasmablast	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0030381	Increased proportion of transitional B cells	http://purl.obolibrary.org/obo/CL_0000818	transitional stage B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000236	B cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0032125	Increased proportion of unswitched memory B cells	http://purl.obolibrary.org/obo/CL_0000970	unswitched memory B cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000000	cell	http://purl.obolibrary.org/obo/PATO_0040043	increased proportionality to
http://purl.obolibrary.org/obo/HP_0025624	Reduced proportion of CD4+ effector memory T cells	http://purl.obolibrary.org/obo/CL_0001044	effector CD4-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CL_0000084	T cell	http://purl.obolibrary.org/obo/PATO_0040042	decreased proportionality to
