defined_class	id
http://purl.obolibrary.org/obo/UPHENO_0000110	http://purl.obolibrary.org/obo/GO_1901576-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000111	http://purl.obolibrary.org/obo/GO_0006950-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000112	http://purl.obolibrary.org/obo/GO_0005863-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000113	http://purl.obolibrary.org/obo/GO_0051642-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000114	http://purl.obolibrary.org/obo/GO_0051640-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000115	http://purl.obolibrary.org/obo/GO_0051641-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000116	http://purl.obolibrary.org/obo/GO_0050794-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000117	http://purl.obolibrary.org/obo/GO_0050793-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000118	http://purl.obolibrary.org/obo/GO_0051648-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000119	http://purl.obolibrary.org/obo/GO_0051649-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000120	http://purl.obolibrary.org/obo/BSPO_0000400-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000121	http://purl.obolibrary.org/obo/GO_0001764-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000122	http://purl.obolibrary.org/obo/GO_0045184-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000123	http://purl.obolibrary.org/obo/GO_0023052-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000124	http://purl.obolibrary.org/obo/GO_0051656-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000125	http://purl.obolibrary.org/obo/GO_0006725-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000126	http://purl.obolibrary.org/obo/GO_0051650-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000127	http://purl.obolibrary.org/obo/BSPO_0000417-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000128	http://purl.obolibrary.org/obo/GO_0018958-abnormal.tsv
http://purl.obolibrary.org/obo/UPHENO_0000129	http://purl.obolibrary.org/obo/GO_0048489-abnormal.tsv
